,est_diameter_max,relative_velocity,miss_distance,absolute_magnitude,hazardous
38172,1.3615700154,88357.8657850657,36232930.2373566,18.2,0
38177,1.8794898244,64251.275090589,28203394.027103297,17.5,0
38179,0.0859092601,40983.7736133814,16527295.36802838,24.2,0
38186,0.0494356193,55923.006652574,2780810.77754164,25.4,0
38196,0.0358129403,24341.3242033269,3172584.097246263,26.1,0
38197,0.3097704444,60961.483620383,57897184.00105479,21.415,0
38208,0.1714115092,10924.6158408013,26191839.67211745,22.7,0
38212,0.0941976306,32590.2910082725,7537494.783543096,24.0,0
38213,0.0517654482,80808.6572813567,2162076.096551607,25.3,0
38229,0.0171411509,15464.7339399049,2123184.046223256,27.7,0
38230,0.1361570015,8878.2538673964,34682642.42421902,23.2,0
38234,3.3422580561,67691.3365596931,22258406.23845387,16.25,1
38244,0.0586192124,54504.4745922912,65452911.75803369,25.03,0
38251,0.0899580388,17538.5339431329,8073540.917386773,24.1,0
38253,0.130028927,70784.2247162026,37906237.73459893,23.3,0
38254,0.1794898848,11538.9994825127,42100888.5119654,22.6,0
38258,0.4721064988,52386.4197503734,40561110.29327042,20.5,0
38261,0.023661375,25029.4001656138,4747883.671942114,27.0,0
38262,0.1492931834,82798.5350721334,49631568.51413851,23.0,0
38273,0.0463489584,55882.8550296673,2240832.463685013,25.54,0
38278,0.0835679943,32201.2332686363,65908663.83815781,24.26,0
38285,0.0682401509,21065.9974657439,5904632.132600147,24.7,0
38293,0.1737960809,18070.0472802196,17820546.185382567,22.67,0
38304,0.0539560289,72611.5551835723,70346740.4640655,25.21,0
38309,0.5176544822,27337.8223193246,15866934.541158516,20.3,0
38310,0.1032856481,33385.269871535,4316007.411869999,23.8,0
38313,0.0098637028,68174.1429716866,54472055.990291856,28.9,0
38318,0.5675968529,65251.8192028849,34064303.11543961,20.1,0
38320,0.9419763057,47194.6256243003,18533760.313718107,19.0,1
38323,0.2060819612,73887.5334864438,48930758.87662571,22.3,0
38326,0.0542050786,86759.2735180844,52855259.02860289,25.2,0
38335,0.0820427065,60181.726760667,67275553.18975398,24.3,0
38336,0.0899580388,17549.5151557239,71997059.58574025,24.1,0
38341,0.411187571,87396.6200560193,30378115.945761528,20.8,0
38342,0.0342010925,33426.7549815573,8557056.163094198,26.2,0
38347,1.4257388333,79534.8173328016,35888598.5161704,18.1,1
38351,0.9909231597,80987.9663448727,51933011.42252167,18.89,0
38352,0.0748238376,18529.5733062092,18093958.94192508,24.5,0
38353,0.0149293183,47850.2815850683,61600340.41616186,28.0,0
38362,0.0311917671,44488.244215224,3202540.367603774,26.4,0
38364,0.0271668934,75863.0932001471,44172053.02549163,26.7,0
38368,0.0082042706,74927.2909598975,55987405.84920199,29.3,0
